name,ring,quadrant,isNew,description,url,
Ansible,adopt,tools,FALSE,Infrastructure automation platform,,Marius
Apache Kafka,trial,tools,TRUE,distributed event store and stream-processing platform,,Arthur
Apache Spark,adopt,languages & frameworks,FALSE,multi-language engine for big data applications,,
ArgoCD,adopt,tools,FALSE,GitOps focussed deployment tool. ,,
AWS,adopt,platforms,FALSE,Cloud platform build by Amazon,,
AWS Athena,adopt,tools,FALSE,interactive query service for S3,,
AWS Aurora,trial,tools,TRUE,Database engine for MySQL and PostgreSQL that is highly available and scales,,
AWS Glue,adopt,tools,FALSE,serverless data integration service (ETL),,
AWS Lambda,adopt,tools,FALSE,serverless compute service,,
AWS S3,adopt,tools,FALSE,object storage service,,
AWS Sagemaker,trial,tools,FALSE,cloud machine-learning platform (also interface for python),,
Behat,adopt,tools,FALSE,Cucumber style testing framework for PHP,,
Chromatic,adopt,platforms,FALSE,Visual snapshot testing tool based on StorybookJS,,
CQRS,trial,techniques,FALSE,Seperating Command and Query logic,,
Deptrac,adopt,tools,FALSE,Tool for enforcing internal project dependencies and structure/architecture,,
Secoda,trial,tools,TRUE,data cataloging tool,,
Docker Compose,adopt,tools,FALSE,Tool for spinning up multiple docker images locally in sync. Used for creating local developer environments,,
Doctrine,adopt,languages & frameworks,TRUE,,,Manu
Domain Driven Design,adopt,techniques,FALSE,,,Silvester
Eloquent,hold,languages & frameworks,FALSE,,,Bruno
Event Storming,trial,techniques,TRUE,,,Pasha
GitHub Actions,adopt,tools,FALSE,,,
Golang,assess,languages & frameworks,TRUE,,,
Hashicorp Vault,adopt,tools,FALSE,,,
Java,assess,languages & frameworks,TRUE,,,
Kubernetes,trial,platforms,FALSE,,,
Laravel,adopt,languages & frameworks,FALSE,,,
Looker,adopt,tools,FALSE,data exploration and discovery business intelligence platform,,
MySQL,adopt,tools,FALSE,,,
New Relic,adopt,platforms,FALSE,,,
NX,adopt,languages & frameworks,FALSE,,,
OpenAPI 3.1,adopt,tools,FALSE,,,
PHP,adopt,languages & frameworks,FALSE,,,
PHPUnit,adopt,tools,FALSE,PHP Testing Framework,,Marian
Psalm,adopt,tools,FALSE,PHP Static Analysis Tool,,Tomasz
Python,adopt,languages & frameworks,FALSE,programming language; used to extract & transform data for BI/analytics purposes; also for data migration and complex data models,,
React,adopt,languages & frameworks,FALSE,,,
React Hook Form,adopt,languages & frameworks,FALSE,,,
React Testing Library,adopt,tools,FALSE,,,
Readme.IO,trial,tools,TRUE,,,
Redux Tool Kit,adopt,languages & frameworks,FALSE,,,
Scrum,adopt,techniques,FALSE,,,
Secoda,trial,tools,TRUE,"data catalouging & governance tool. It connects to our internal data lake as well as looker and helps document data pipelines, lineage and data products across departments.",,
Selenium Java,hold,languages & frameworks,FALSE,,,
Selenium Javascript,trial,languages & frameworks,TRUE,,,
Sentry,hold,platforms,FALSE,,,
Storybook,adopt,languages & frameworks,FALSE,,,
Styled Components,adopt,languages & frameworks,FALSE,,,Mathias
Symfony components,adopt,languages & frameworks,FALSE,,,Torsten
Terraform,adopt,tools,FALSE,open-source infrastructure as code software tool ,,Thomas
Testrail,adopt,tools,FALSE,,,
User Story Mapping,trial,techniques,TRUE,,,
WebdriverIO,hold,languages & frameworks,FALSE,,,
Zapier,hold,tools,FALSE,tool for integrating web applications and automating workflows,,
Auth0,trial,tools,TRUE,SAAS product for OAuth authentication,,
PhpCsFixer,adopt,tools,FALSE,,,
IonCube,hold,tools,FALSE,,,
SonarCube,adopt,tools,FALSE,,,
